1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
15000.0,10000.0,8967.0,7741.78,6562.0,7743.88,7743.36,14193.12,15000.0,14177.83,14176.39,7000.0,6500.0,6530.62,8599.0,13800.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0
5449.99,5500.0,5400.0,5400.0,5400.0,5400.0,5490.0,9999.0,14973.96,10999.0,9800.0,6000.0,5600.0,5600.0,6500.0,8201.0,11499.0,14901.33,13800.0,13267.0,12767.0,11067.0,14900.92,8167.0
5520.0,7950.0,5420.0,5420.0,5420.0,5440.0,7222.0,14990.17,11999.0,9000.0,7000.0,5500.0,5000.0,5000.0,6500.0,10999.0,15000.0,13800.0,13800.0,13800.0,13800.0,11000.0,14899.0,7700.0
11500.0,11393.62,6550.0,5459.0,5440.0,6359.0,6951.0,7495.08,11062.0,9800.0,8999.0,9843.0,9999.0,10300.0,14000.0,14000.0,15000.0,15000.0,14901.5,14900.49,14500.0,14499.0,8799.0,6559.0
14581.0,5799.0,5440.0,5400.0,5420.0,5450.0,7000.0,9000.0,14996.11,14997.22,14996.42,14000.0,14000.0,14000.0,14000.0,14000.0,14990.0,14897.52,14905.15,12800.0,10700.0,8767.0,8900.0,6850.0
5520.0,5500.0,5420.0,5400.0,5400.0,5420.0,6362.0,10500.0,14994.15,14995.99,14995.09,14867.17,14870.34,14841.66,14868.32,14000.0,15000.0,14897.79,14903.11,14499.0,14901.44,13800.0,14500.0,8601.0
14940.3,14046.77,14046.03,14041.24,7838.0,14044.88,14000.0,14993.74,14993.29,14996.55,14995.43,14913.25,13000.0,10199.0,14000.0,13000.0,14942.52,14896.0,14500.0,14499.0,13999.0,13499.0,12999.0,5600.0
14884.2,14000.0,14000.0,14000.0,14000.0,14000.0,14000.0,14832.8,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0
15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0
15000.0,15000.0,15000.0,15000.0,7400.0,14042.6,15000.0,15000.0,15000.0,13999.0,10000.0,8000.0,6810.0,6810.0,9970.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0
5600.0,5550.0,5420.0,5420.0,5420.0,5420.0,5600.0,5900.0,8000.0,8000.0,7846.0,7500.0,7000.0,7000.0,7824.0,11999.0,13800.0,14839.0,14681.0,13800.0,13402.0,12500.0,7700.0,6850.0
5000.0,5544.0,5420.0,5000.0,4999.0,5000.0,5000.0,5000.0,5900.0,7000.0,7364.0,5997.0,5900.0,5900.0,6967.0,5900.0,7140.0,7800.0,7200.0,7200.0,6500.0,6500.0,6500.0,6000.0
8000.0,5880.0,5800.0,5800.0,5800.0,5880.0,7000.0,15000.0,15000.0,15000.0,11000.0,12000.0,10000.0,10000.0,14000.0,14000.0,13800.0,12800.0,12800.0,12800.0,10700.0,9330.0,7723.0,6915.0
5880.0,5800.0,5767.03,4570.0,4950.0,5000.0,4944.0,3800.0,5605.0,7366.98,6267.01,5700.0,4990.0,4990.0,5050.0,6000.0,8000.0,10700.0,13800.0,10700.0,10700.0,8900.0,6835.0,5937.05
5800.0,5767.01,5544.0,4966.0,4749.05,4440.0,4400.0,3500.0,5300.0,5962.11,6000.0,5567.01,5094.96,4967.04,5150.0,5273.0,6500.0,7200.0,7000.75,6840.0,6800.0,6467.04,5600.0,5300.0
4899.0,5766.96,5000.0,4400.0,4311.0,4674.0,5400.0,6270.0,7500.0,7072.21,5926.43,4490.0,4200.0,4490.0,4300.0,6200.0,12800.0,14499.0,14500.0,14499.0,12499.0,10500.0,8000.0,6500.0
5800.0,5880.0,5800.0,5800.0,5800.0,5800.0,5800.0,8000.0,9376.0,9500.0,8966.97,8349.0,6944.0,8000.0,13950.0,15000.0,15000.0,15000.0,15000.0,14901.92,12500.0,8900.0,6897.16,6138.24
5800.0,5800.0,5459.0,4940.0,5138.0,5103.0,5800.0,5800.0,15000.0,15000.0,15000.0,13950.0,7919.0,7000.0,14000.0,14000.0,15000.0,15000.0,15000.0,15000.0,15000.0,14902.53,7700.0,6189.0
5000.0,5800.0,5450.0,4500.0,4789.0,5150.0,5800.0,7217.0,9166.97,5500.0,5500.0,4330.0,4330.0,4330.0,4888.0,5500.0,14990.0,15000.0,15000.0,15000.0,15000.0,14500.0,7694.0,5970.0
4500.0,5800.0,5600.0,4500.0,4500.0,5150.0,5499.0,6579.85,9166.97,10000.0,6967.0,6966.97,6450.0,6450.0,7000.0,7500.0,15000.0,15000.0,15000.0,15000.0,14902.47,12076.0,6903.0,5150.0
5800.0,4000.0,3600.0,3500.0,3300.0,3330.0,3600.0,4000.0,4611.0,4300.0,4000.0,3990.0,3990.0,3799.0,3990.0,4300.0,6496.27,14901.72,14898.96,13548.0,12000.0,7800.0,5499.0,4500.0
13800.0,3980.0,3980.0,3491.0,3300.0,3600.0,3600.0,3898.0,3980.0,3999.0,4300.0,3600.0,3499.0,3499.0,3980.0,4300.0,14500.0,10000.0,12000.0,13800.0,12000.0,8900.0,8999.0,4865.0
5800.0,5150.0,3980.0,3600.0,3619.0,4299.99,5737.05,9966.97,8038.0,9966.97,9966.97,6366.99,5999.0,5999.0,5000.0,6940.0,14941.34,14901.61,14900.82,14899.76,14903.31,14903.37,14904.86,7100.0
14943.82,5727.05,5726.97,3500.0,3500.0,5726.97,5880.0,14990.23,14994.67,14994.28,14974.31,14878.0,14000.0,13999.0,14888.3,14947.85,14940.4,14900.0,14900.0,14899.63,14900.2,14900.0,14898.0,14238.78
14942.07,5800.0,5766.98,5253.0,5214.0,5767.05,5880.0,14835.6,14899.4,14974.71,12000.0,7967.0,7966.98,7000.0,8000.0,10000.0,10000.0,14500.0,14877.0,14500.0,14894.8,12000.0,12000.0,14939.65
5880.0,5800.0,5150.0,3100.0,3500.0,4953.0,5450.0,14832.7,12000.0,9909.0,6350.0,4000.0,3600.0,3950.0,4866.97,6350.0,12878.0,13800.0,12000.0,13300.0,12000.0,13000.0,11293.0,9987.0
