1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
7000.0,5880.0,5800.0,4000.0,4185.0,4000.0,4640.0,3650.0,3550.0,3900.0,2790.0,2350.0,1950.0,1999.2,2250.0,3150.0,6000.0,9000.0,7821.04,7800.0,9000.0,8849.05,6500.0,6500.0
5880.0,5800.0,5800.0,5450.0,5600.0,5800.0,5880.0,11000.0,6969.0,5000.0,3900.0,3085.0,2750.0,2349.0,2901.0,4374.16,12000.0,14299.0,13789.0,13500.0,13500.0,13500.0,8000.0,7250.0
5150.0,4000.0,3500.0,3051.0,3100.0,3500.0,5800.0,4185.0,5450.0,5000.0,3951.0,3250.0,2490.0,2749.0,2750.0,3400.0,5450.0,6500.0,7800.0,9000.0,7947.0,7000.0,5000.0,5000.0
5800.0,5800.0,5410.0,3600.0,3600.0,5766.96,5880.0,9899.0,7500.0,3650.0,2790.0,1800.0,1500.0,1500.0,1575.0,2499.0,5000.0,7700.0,10000.0,10999.0,10000.0,8500.0,5200.0,4850.0
5600.0,5800.0,4349.0,3300.0,3300.0,5600.0,5880.0,10264.0,5000.0,2850.0,1949.0,999.0,850.0,850.0,1000.0,1600.0,4570.0,7944.0,13499.0,13499.0,12682.08,9000.0,7544.0,5000.0
4000.0,4185.0,3299.0,2799.0,2800.0,4000.0,5880.0,10150.0,9200.0,7844.0,2200.0,999.0,999.0,999.0,1100.0,1900.0,7166.97,6900.0,11500.0,13000.0,11500.0,8000.0,7311.0,6744.0
10000.0,5900.0,5900.0,5800.0,5900.0,5900.0,5900.0,7134.0,6991.0,4000.0,1500.0,450.0,198.0,865.0,800.0,2100.0,7100.0,13499.0,14577.0,14577.0,13999.0,13500.0,10458.0,7998.0
15000.0,6699.0,5800.0,5900.0,5800.0,5800.0,5900.0,5000.0,9200.0,9500.0,3913.9,1800.0,1500.0,1500.0,1800.0,2100.0,4185.0,11467.02,14897.0,15000.0,15000.0,15000.0,14897.0,6850.0
5900.0,5900.0,5800.0,5800.0,5900.0,5900.0,11765.0,13000.0,12675.0,10000.0,4000.0,1750.0,1300.0,1250.0,1250.0,4051.0,5400.0,13999.0,15000.0,15000.0,15000.0,14900.53,13967.05,12000.0
5800.0,5800.0,5800.0,4850.0,5800.0,5900.0,5900.0,13000.0,9300.0,6770.0,5000.0,2430.0,1200.0,1200.0,1000.0,3943.0,5150.0,6500.0,14000.0,14587.0,14587.0,9000.0,6000.0,7183.0
5800.0,5800.0,5450.0,4850.0,5104.0,5900.0,8499.0,11000.0,5150.0,4999.0,4850.0,2999.0,1200.0,1200.0,1200.0,2999.0,5450.0,14100.0,14587.0,14897.0,14587.0,14587.0,9614.0,7957.0
